Review Title,Review Text,Date of Stay,Author Contribution,Rating
Wow - just WOW,"OMG.  What a hotel.  When you get past the ""am i good enough to be here"", you simply enjoy the experience - the 57th floor infinity pool, the first class service, the views.  Loved the experience from start to finish.  It isnt cheap - the drinks are not cheap, the food isnt either but push the boat out and you wont be disappointed.  Only criticism was the restaurants are booked weeks before so you need to plan this into your trip and not wait until the last minute.",July 2023,9,5.0
A Unique Hotel Which Needs Further Improvement,"We had booked a Delux Twin Room with a rollaway bed for our teen. We waited for about  45 mins to get checked in. The front desk attendant told me they are going to upgrade us to a Delux Suite on high floors which was a pleasant surprise. At first she said the suite was smoking and when I said No Way she gave us a beautiful suite on 36 floor of tower one with 2 queens beds. The suite is beautiful and fully updated with high end decor, furniture and amenities but with only ONE BIG PROBLEM! There is constant drilling, hammering and construction noise from morning to night and last night it extended to 9PM! We were never told about the low floors of the Delux rooms which we found out latter to be floor 2-11. Additionally we were not told about the construction noise when I accepted the upgrade. The reason for 3 stars is that MBS must fully disclose on its website and partners websites such as Expedia the floor where the room is located and the description of the view as well issues such as construction noise. While the staff are courteous, and responsive and the hotel is great in terms of its architecture, guest experience needs significant improvement in the above areas.",July 2023,84,3.0
Clean neat,"As usual, the nice and welcoming feeling hotel just like going home. Love to staycay here as always, room is clean and neat. Nice pool view, great dining options and friendly staff! Will definitely return again next time!!",July 2023,2,5.0
TGL 8 yrs strong friendship🥹 ... and a glass of wine🥂 Marina Bay Sands👯‍♀️👯‍♀️❤️❤️❤️,I would like to give a very good complimentary for  DENNIS by the Pool & Mark for F&B for a very good service .. they are very friendly & very professional.. & very high standard.. very good experience during our staycation with friends .. the  infinity pool at the MBS  vare highly  recommendations for family & friends & we have so much fun with my friends,July 2023,2,5.0
Amazing Experience!,"Best customer service and care that a guest could possibly think of, i am a traveller and can claim that this is by far the best experience my family & I had! Although the check in was an extremely long wait, but the staff made up for it. From the first welcome as we were checked in by a lovely lady named Rose, she was so warm and accommodating to our needs and even managed to give us an upgrade! We wanted to thank her again on our check out day but did not manage to find her. As it’s our first time here in Singapore, we approached the concierge and was also extremely well taken care of by a young lady named Elena, who was extremely bubbly and patient with the buzzing questions we had. What a lovely coincidence that she and our youngest bears the same name, and we were even more surprised to find out she was only 20 years old! All in all from the start till the lovely token leaving the hotel, all employees were helpful and cheerful which was very comforting and welcoming, and we truly enjoyed our 3 day stay here. My family and i would like to truly thank Rose and Elena for making our stay livelier, and we hope to be served by them with their top tier service the next time we’re back. Best customer service if that’s what you look for in a hotel.",July 2023,2,5.0
Amazing Hotel,"Hotel is huge and runs like a well oiled machine. Services, staff and facilities all excellent. The view and experience of the rooftop pool doesn’t disappoint and is a must see for anyone visiting Singapore",August 2022,7,5.0
Would not recommend,"We arrived and tried to check in with two room reservations, there was a long line at the check in counter, we were there around 3:30 and had to wait one hour to get key cards for one of the rooms and by 6pm our other room was still not ready.  I understand it was a 5 day weekend with holiday celebrations but never had I had to wait to get into a room after the typical check in time at any hotel.  Also, the room we were able to get was on the 5th floor, pretty much the lowest floor level and it was super noisy (sounded like construction).  It was labeled as deluxe suite but pretty small and the couch was just a one seater.  Now sure how 3 people would even fit into the room.  We had a party of 6.  Also, the atmosphere was noisy, with kids crying and couldn’t not find a quiet place to get some work done.  My husband was looking forward to take a shower and go to a meeting but missed it due to waiting around for a room. Luckily, we complained and the hotel was able to let me cancel my two room reservations.",July 2023,2,1.0
Excellent experience. Highly recommended,"We stayed overnight at Marina Bay Sands for my son's birthday. A huge thank you to DP, Paul and Saw for the special experience! We went to the concierge as we were checking out to leave you all a little something but I was advised to write about your excellent service online instead. Excellent staff, great ambience, amazing room! Definitely worth the price for a special occasion splurge. You don't even have to leave the hotel as there are lots to do: lounge by the pool, have a warm relaxing bath, take in the sights at the observation deck, and loads more.I especially like the digital checkin and checkout option. What a hassle free experience.Again huge thanks to DP, Paul and Saw. Keep up the excellent work!",June 2023,36,5.0
"Deluxe Twin Room-Not stated as being LOW FLOOR ,located from level two to level 11","I booked Duxe Twin Room via online reservation- on day of check in , I was told that all the high floor non smoking rooms are fully booked. They are only left with low floors and they offered to place me in  a premium second floor room with zero view, only coconut trees from the balcony. When I filed complaint subsequently, I was astonished to find out that Deluxe Twin Room refers to levels 2 to 11, and not the typical high floor room. This fact is not indicated in the website or hotel confirmation, I have since filed another complaint to MBS hotel and still pending their wishy washy response. Honestly , the service staff standards have declined tremendously, they have poorer follow up skills unlike pre covid days , their call centres are also manned by staffs who articulate poor command of English.",June 2023,2,1.0
Amazing Experience,"This is an expensive hotel BUT you get what you pay for .From the moment we stepped out of the taxi this exceptional service began.On booking we were asked if we were celebrating anything so I am unsure if this is why we got a room on floor 31. Never seen anything like it huge room!We were made to feel important guests and it continued everywhere around the hotel including restaurants and pool area. They achieved their goal of creating an unforgettable memory for us by setting standards of service excellence that are unparalleled by any other place we have stayed.Our whole experience at Marina Bay Sands had made an impressive mark on us and we will be back,",July 2023,5,5.0
"Wonderful Luxurious Hotel, From Deluxe to Luxe","We had multiple stays at Marina Bay Sands over the course of two weeks because we simply enjoyed the hospitality and facilities of the hotel. We actually decided to stay in different types of rooms so we could get the full MBS experience.We started with the standard Deluxe Room which was great. The was cozy, the bed was comfy and the view of the Gardens by the Bay was amazing.Next, we decided to stay in one of the new Sands Premier Rooms which is part of their new Luxe collection. Immediately, we could already tell the room is more spacious and luxurious. We loved the pantry as well as the lovely bathroom.Finally, we stayed at the Sands Premier Suite. This was definitely our favourite room. We felt that this suite was much better than the traditional suites in MBS because the furniture and fixtures are modern, luxurious and comfortable. Just like the Sands Premier Room, we thoroughly enjoyed the pantry, the view and the bathroom!We will definitely be coming back to MBS very soon for another stay since MBS has a very special place in our hearts (we got engaged there!). But more than that, the services, the staff and the facilities make all the difference in making our stays wonderful and memorable.Thank you so much and see you again soon!",May 2023,3,5.0
An iconic landmark and a 5-star experience,"One of the very few hotel stays in my life where I can hardly find anything to criticize. The stay was a surprise for my family, and the staff cooperated with me keeping it a secret up until the last moment. The lady who did the check-in was super helpful, went out of her way to answer all my questions and fulfill my requests, I'm really grateful. The room was beautiful, super clean, the bathroom stylish, with great showerhead and a soap holder in the shower. Comfy bed, good pillows, automated curtains, discreet aircon, quiet. The view was to die for - I chose the ""garden view"" and I still shik it's the (slightly) better option since the city view is available from the pool, the Gardens by the bay is a more unique landmark that the bunch of skyscrapers, plus this room comes with a balcony. The pool and the 3 hotel towers are absolutely iconic, one of the most famous landmarks of Singapore. This is not just a high-end hotel but one of the most famous hotels in the entire world, one that deserves a stay from everybody. A flawless experience.It is really hard to find anything to criticize. Maybe the breakfast was only a 9/10, since it could use some more variety, and one item from the buffet was out of stock by the time we arrived. (Information about breakfast items: eggs, sausages, bacon, potatoes, curries, oriental noodle soups, fresh fruit, sweet pastries, cheese, yoghurt, salad in the buffet; can order more elaborate egg dishes, additional oriental noodles, dim sum from an a la carte menu.)",May 2023,34,5.0
Another great stay at the iconic MBS,"This was our second short stay at MBS and in many ways it has improved over the last few years. Check-in was very busy so we checked in early for the two rooms we had booked thanks to Jemeh and Han's excellent customer service, we were grateful to get one of the rooms 90 minutes early, this enabled us to head up and store our bags while we went down to the huge and extensive food court. When we opened the door we soon realised we had been upgraded to the beautiful Sands Premiere room that had been recently refurbished and was still very crisp and fresh. The attention to detail was mind blowing, lovely coffee cups, glasses etc, even the coffee machine was clad in tan leather!. The level of toiletries was excellent, all fine quality, no skimping here. The room size was large and we had a lovley view over the Gardens by the bay. The huge Super King size bed was so comfortable with huge soft pillows. Got to love those Japanese Toto loos, the lid opened and mood (bowl) lighting came on as you entered the separate room. We stayed in tower one so had immediate access to the pool on level 57 by lighting fast lifts. It must have been a quiet time as the pool wasn't busy at all and was lovely soaking and gazing down at the CBD. Check out was fairly prompt at the hands of KC who was super friendly and efficient. I recommend to all our friends to treat themselves at MBS if they're able when traveling to Singapore,  yes you are just a number in a huge almost impersonal hotel, but in terms of wow factor, she never fails to impress.",May 2023,313,5.0
Sadly underwhelmed,It is without doubt a stunning hotel but with such high expectations it fell short. We upgraded to the high life  and sands club for additional benefits. One was VIP check in as that area was busy we went to the main check in. After a day long journey a cold drink and a more personal welcome would have been good. First room for 3 adults king-size bed and a camped taped up with black masking tape. Complained second room 2 king-size but lost the balcony. Breakfasts club 55 the best Spago the worst but nothing special. Infinity pool please have an adults only area none of the kids use the kids pool so was like a kids water park. Afternoon  tea and drinks with canapies great idea but should be enjoyed in all areas not just Renku Lobby bar and so disappointing that there were never hot vegetarian options. More personal service is needed. It caters more for tourists than hotel guests sorry,May 2023,728,3.0
Life time experience,"I had amazing experience as It was special ocasión for me, my honeymoon. The room was just perfect.Wonderful pool view everything, I want also specially mention Moe what a amazing person and lifeguard had great time and conversation with him.",May 2023,2,5.0
Incredible hotel,"When planning our honeymoon we knew we HAD to stay here!  Me and my husband have wanted to stay at this hotel for such a long time and it really did not disappoint! The staff were amazing! The room was amazing, the view from the room and the roof was amazing!  The pool was incredible!We feel extremely lucky and fortunate to have stayed here on our once in a lifetime trip!  We wish we could come back and would do anything to come back here again! If you get the chance, stay here, you will not be disappointed.",September 2022,35,5.0
Memorable Experience,Been here for the first time with my Family and Friends..And i must say that everything is perfect❤️..Only that when we about to go swimming we cant enter coz it's look like going to rain and there's a sign of lightning after everything is fine they let us in and thats it my kids enjoyed the pool to the point that they dun want to go back to our room😀..Highly Recommended!!,April 2023,13,5.0
Large conference hotel,"I stayed at Marina Bay in 2018 and was excited to come back.  Like last time, I requested a room overlooking Gardens by the Bay on a higher floor.  I was somewhat disappointed that I could not stay for the full length of my trip, so I stayed at JW Marriott for the first part.  I liked Marina Bay  (MBS) but found that the hotel was extremely large, chaotic and although the views were still stunning, my experience at JW was better.  Beds/linens/pillows were more comfortable (beds are extremely hard at MBS).  I also found the room decor teetering on tired.",May 2023,423,4.0
Spectacular hotel convenient to downtown Singapore,We had a wonderful time at this amazing property. The location is perfect and within walking distance to many popular attractions in Singapore. In addition the rooftop pool is spectacular! I will gladly stay here again.,April 2023,129,5.0
Ever memorable moment,"WOW….on 20 May 2023  will be an ever-memorable in my life.  We celebrated my 50th birthday and our wedding anniversary in MBS hotel. I booked two deluxe rooms for my family. On the day of checking, they are given an unexpected gift are presidential suit at level 50 instead. It was a wonderful experience for us. We enjoyed it a lot. Thanks to MBS staff for their hospitality and wonderful services. Once again thanks MBS for your outstanding gratitude and make colourful our event.",April 2023,1,5.0
