Review Title,Review Text,Date of Stay,Author Contribution,Rating
Great Place to stay,"i enjoyed our stay at Marina Bay Sands,beautiful view from balcony especially the food at Waku Ghin restaurant was so great.I love it.Thanks for Chris from hotel gift shop lobby tower 2,she give me more information about everything,will be back again for sure.",September 2022,1,5.0
Amazing experience!,"We visited the Marina Bay Sands hotelAnd we were very delighted!An excellent hotel! Great experience!Caine, the guy from the reception was so kind and nice. Gave us wonderful service and helped us as much as he can!Caine you’re the BEST!Love from Israel",September 2022,2,5.0
Almost perfect honeymoon trip,"This could be a long overdue review since we stayed at Marina Bay Sands Singapore last 31st of July which was our most awaited honeymoon destination. We booked for 3 nights stay to a premium room. Everything was planned perfectly until we arrived in the hotel. There was a flocked of people everywhere, we don’t have any idea what was going on upon entering the door. We approached a gentleman wearing a black suit that we wanted to checked in and we found out that we could not check in because the hotel was having a system down. My husband and I wanted to melt down coming from a long flight only to found out that we could not get our room upon arriving the hotel. It was around half past 3 o clock when we arrived. I have never seen a hotel so huge, so crowded, so chaotic and there were no seats available.  They asked us to give our contact details and they will call us once the system is back. My husband and I decided to go out and relax somewhere nearby for dinner. But it was around 10pm when we came back to the hotel and nobody from the hotel contacted us. We approached the concierge and directed us to the reception lady LJ or RJ. We were so furious and totally devastated for our first day experience in the hotel but the receptionist has sincerely apologizing to us and we really felt her genuine demeanour. She was the only one who said sorry to us for what was going on at that time. Despite of the hoarse voice she has for maybe apologizing to everyone at that time, we can feel the heartfelt service to us. She made us feel special even more when we told her that we were there for our honeymoon. She was really great despite of that situation she was very calm, composed  and exceptionally wonderful. She upgraded our room to a suite room which has a very stunning view of Singapore from daytime to night. She even offered us a $300 credit to the room for the experience recovery which was not really necessary but my husband say to just accept it anyway. It seems that our disappointment has slowly faded away for the great service that we experience in general.  The pool and the view was amazing!!! it is a huge property and like a one stop shop destination that must go to. We love the food in Lavo and Spago though it was so so difficult to reserved for a seat, we managed to get a slot. The view on top was perfect for a couple. I still want to go back again despite the hiccups. Probably a different arrival experience, a better one without too much crowd but still an exceptional service from the staff.  Thank you Singapore and MBS.",July 2022,2,4.0
"Our room was out of this world, the place to stay is Marina Bay!","I visited Marina Bay for 2 nights on our way to Bali. Lots to share to help everyone make their decision if this is the place to stay in Singapore (we believe it is.)Food - visited Spago and Cest la vie bar. Be clear when you book Spago if you want the fine dining as we made this mistake and we couldn’t then get a reservation at the fine dining as it was fully booked and they have a strict dress code so my boyfriend in shorts and a shirt wouldn’t have been allowed in anyway. The food was okay but we didn’t get to experience the fine dining which I’m sure would be out of this world. Pool - way more impressive by night than by day. I love that there are different chill spaces like day beds, cabanas, sun beds etc… and that the pool and jacuzzis are open until 11pm at night. The hotel also allows guests to wonder in their robes and slippers which is nice touch, it creates a relaxed vibe in what is a busy 5 star hotel with global recognition.Room - we booked a room on the highest floors so we were 49 (57 is the pool and 55 is the gym and spa so we were pretty high.) Our room was HUGE, it had 2 x 75 inch TV’s, a super king bed, a sofa living area and a huge bathroom. As we’d paid for being on a high floor, we had an amazing view.Overall - well worth it for a couple of nights, any longer than that would be too much in my opinion and it is very expensive.",September 2022,538,5.0
An average hotel,"Stayed here as it seems the right thing to do when in Singapore, we were underwhelmed and thought the hotel was over rated, had to book even to have a drink in a bar, Ce la Vie deposit and minimum spend was extortionate, room was ok brekkie average, hotel is to big and lacks the personal touch.",September 2022,74,3.0
Excellent service from Premium Services,"Our stay were well taken care by the outstanding Premium Services team. Special thanks to Shataz, Nicholas and Mac for the seamless check in and check out. They were patient and professional. They provided direct contact number so that our needs could be attended promptly and it definitely made our stay amazing and smooth! Definitely recommend to book your room/event at mbs with Premium Services. Thank you team!",September 2022,2,5.0
Amazing Infinity pool!,"We book Marina Bay Sands, due to the pool.... and it is indeed an amazing pool! We love it!Besides that, staff was always friendly and efficient.Room was perfectly clean and we loved the room balcony with an amazing view over the Gardens by the Bay,The price for a night is very expensive and does not include breakfast.... we pay the pool.",August 2022,31,5.0
6 Star Experience!!,"Amazing hotel with 6 star service!! The staff were fantastic, they made our ""sisters get-away"" extra special with their warmth and professional hospitality. In particular, we would like to acknowledge Gai, Room Guest Services - KJ, Infinity Pool lifeguard - and Jessie, Reception check-in Services. They all went out of their way to provide us with exceptional service and made us feel very welcomed. Can't wait to go back!!",September 2022,1,5.0
Great stay,"I enjoyed our stay at Marina Bay Sands, our room was a Garden View which was excellent. We could watch the Supertree show from our balcony which was a really cool experience because you could see the whole thing, as opposed to when you're actually at the Supertree show you only get a partial view.The staff were all very friendly and attentive, Nicholas who checked us in was excellent, he was so helpful and made sure we knew everything about the hotel that we needed to. Candy in the gift shop was also wonderful, so friendly and helpful.The pool is an awesome experience, as it wasn't peak season we got to go a few times. They bring around complimentary ice-creams too so definitely keep an eye out for them. You also get access to the SkyPark Observation deck. It can be a little clunky to get to as you have to go through the same elevator as the non-guests and its separate from the rest of the hotel but its a great inclusion you should definitely take advantage of.",September 2022,209,5.0
Great experience at MBS,"It is my 3rd time staying at Mbs, it is good to be back here. I would like to compliment a particular staff, lifeguard Ryan. He has gone extra mile by volunteering to help us take photos, mingling with guests and helping his colleagues. He is a gem.",September 2022,2,5.0
