Review Title,Review Text,Date of Stay,Author Contribution,Rating
amazing,"super luxurius hotel, with amazing cleaness, comfort rooms, top top view from all center of city of the roof top sky swimming pool . amazing design of the stracture like a lader that stands in two, from isnisde are the room entrances and the out side their balconys. facinf half at city center and other half at the garden with the light show!!!!",February 2022,5,5.0
MY FANTASTIC STAY AT MARINA BAY SANDS!,"Everyone wishes to stay and experience great places. Marina Bay Sands Singapore is the most famous place in Asia . Iconic hotel and infinity pool which everyone wishes could come.      And wishes granted last Chinese new year February  1&2,2022 .      We had a great experience!    Hotel lobby staff were very helpful and entertaining. Greeted us with a smile. By a chance I had met Ramesh the front office manager, he assisted our check in  and upgrade our room to the high level .Wow that's awesome!!! How kind he was👏The best part of our stay was at infinity pool and jacuzzi!It was really indeed a great experience, fantastic view and relaxing . Pool staff are very courteous with good service.Marina Bay Sands hotel provide  us unlimited WiFi, a lot of complimentary drinks,  Nespresso coffee, tea , soft drinks and many more plus toiletries.    Dinner room service was great as well , delicious food served on time with a good service and smile from the hotel staff.      Thank you Marina Bay Sands!",February 2022,2,5.0
Legendary infinity pool and great service,Well-located iconic hotel with an outstanding view from the rooftop. We stayed 2 nights in October.  The Check-in procedure was smooth. And our room was just amazing. We were upgraded to the family suite with a garden view.,October 2021,5,5.0
Great Pool Service!,It is understood that the views from the infinity pool are awesome. Unsurpassed. What made our visit extra special was the kind attention that Lifeguard Kelvin paid to ensuring that my friends and I captured those special moments. He voluntarily offered to take our pictures and ensured that he took his time to capture the moments with the highest quality. All the pictures were captured beautifully and made our visit all the more memorable. Thanks Kelvin!,February 2022,17,5.0
Best hotel service I have ever had,"Checked in here mid February and very much enjoyed the hotel. First the check in process was quick and professional. I even got a complimentary upgrade by signing up as a rewards member which was a nice surprise. The room was extremely clean and contained complimentary drinks and snacks in the mini bar and fridge which gets stocked daily. The staff here were phenomenal! From housekeeping staff to lifeguards at the pool I was greeted at every entrance, making conversation and genuinely happy to see me. The staff member Ryan (pool lifeguard) did a fantastic effort in making sure my experience at the pool was the best it could be. He offered me a towel as a headrest, took a few photos of me and made sure i my experience at the pool was constantly met. He and other staff members made my experience at MBS that much better. The highlight of the stay here was the infinity pool, you do need to book, however it means that the pool area is really quiet to the point where I have the entire pool to myself at particular moments of the day. Overall, this is one of the best hotels I have ever stayed at. Customer service was phenomenal, overall service was great and had an amazing experience that I will never forget. Thank you MBS.",February 2022,1,5.0
Awesome Stay-cation,"It was an awesome experience to stay at this hotel. We were greeted by Joanne from Premium Services upon our arrival and was very informative and very helpful with our needs during our stay. From pool  to dining reservations, she handled it like a pro!We stayed at Orchid Suite City View and we were amazed by the view and the space of the room. We have an unobstructed view of the city skyline.We also had a great time at Club 55 from afternoon tea to Evening Drinks until next day’s breakfast!It was a very memorable stay and thank you for the staff who made this stay awesome.Special mention to Miss Joanne Gonzaga of Premium Services, and Miss Vella and Miss Kate from Club 55 for taking care of us all throughout our stay! You guys did a great job!",February 2022,189,5.0
An (Almost) Great MBS Experience,"Due to the pandemic and the fluid nature of border restrictions, we opted to spend our anniversary this year in Singapore again.  We opted for 3 separate staycations and, in order to compare the hotels we’ve chosen, the duration for each of our staycations was the same duration and over the same days of different weeks.Marina Bay Sands was our second staycation.We had stayed once before but that memory was become fuzzy.  All I could remember was that the restroom was huge.Actually we didn’t plan to stay at the MBS.  However, due to the availability of a promotion, we decided to have our second staycation there – and boy were we glad we did.We always opt for rooms with club benefits.  However, during the period of our staycation, all the rooms with club access were under renovation and only suites were available.  I decided against going for a suite since we would probably just stay on bed the whole time and would not be able to justify the hefty costs for the extra space in the suite.Hence, it was with trepidation that we booked for our stay from December 14 to 16 2021.  My wife was so apprehensive about the prospect of a staycation without club benefits that she wanted to cancel it. Pros:1.  MBS makes full use of technology.  Prior to our check-in, we received a link to select our preferred check-in time.  This totally removed the need to speak with the front desk at the start of our staycation.  We also got to book our slots for the use of the infinity pools and other hotel facilities. 2.  The hotel is really serious about its safe management measures.  This is the ONLY hotel that checks in every guest who uses the lifts to the room and checks out every guest who exits the lifts.  There is no way extra ‘guests’ can make their way into the guest rooms.3.  The air-con in the room works fantastically well.  The room was chilled to the level of our liking! 4. Although we stayed in an ordinary room, the mini bar was replenished daily and it was free!What a treat! 5.  I have always thought that having a TV in the room was a silly idea.  However, MBS managed to change that opinion of mine because its smart TV was easy to connect to my phone and we could watch Netflix on TV.  I have stayed in hotels that have smart TVs that are impossible to connect.   Staying at the MBS was like staying at home – only better.6.  My initial thought that the check-in process was one that was going to spoil my staycation due to the sheer number of people at the lobby.  However my personal experience was a super pleasant one.  I was ushered into a room with a seat and was attended to by a very thorough and professional Ms Adilah.  Ms Adilah did not ask questions as a filler or just to make small talk.  She asked questions so that she could provide solutions.  For example, she asked if I have booked for my pool sessions.  When I told her I could not get a timing for the first day, she took the trouble to secure a slot after making a few checks.  To me, the checking in process sets the tone for my stay.  Thank you, Ms Adilah!    7.  There are a lot to do at the Marina Shoppes.  Because my membership was upgraded to the next tier, it made shopping and dinning at the restaurants linked via the escalators an even better experience.8.  Checking out was equally efficient.  No forms.  No queues.  Just drop your room card and its done.Cons:Normally I would have a long list of cons.  For MBS, the ONLY negative point I would give was for our unfortunate dinner experience at the Rise Restaurant located in the lobby.  Not only was the waiting time for our food unduly long, the taste way of the fried rice and satay were below mediocre.I really don’t think the restaurant can justify the 40-minute waiting time for a plate of fried rice and a few sticks of satay. Moreover, our order of satay came undercooked!  The mutton was impossible to chew and the meat was red and bloody.  I had to spit it out. When I informed the wait staff, the remaining 2 sticks of satay were sent back to the kitchen and returned  - charred and inedible.On hindsight, I thought even a regular restaurant would have prepared another 2-3 sticks of satay and served them to us instead of taking the undercooked ones back into the kitchen to char them.Given the current pandemic situation, I thought the restaurant should have known better.Moreover,   I would say that the satay served at Rise was of the worst I’ve tasted offered by any restaurants in any hotel.  This is definitely does not live up to an MBS standard and reputation.  The dinner at Rise was the only bad experience we had during our short staycation.  It kinds of spoilt our dinner on the second night of our stay.Would we stay again?  We would love to experience the club lounge at the Marina Bay Sands Singapore.   I want to believe it is going to be of a standard above the rest. But we’ll probably never going to step into Rise again.",December 2021,563,5.0
Fantastic stay and Superb Service,"My husband and I checked in last weekend and we really had a great stay with this hotel. We booked a club room with club access. Our room is really big, clean and nice. I would like to take this opportunity to thank Vincent and Aries for taking care of us while we were having afternoon tea and cocktails. We really appreciate their efforts in making sure we were okey while we were at Club55. Sometimes the service is reason why the guest comes back and I can say that those people convinced us to come back through the BEST service that they provided to us. Kudos to MBS and all the staff. We will definitely come back.",February 2022,20,5.0
Marina Bay Sands,"Given that MBS is an excellent hotel to stay and relax, I want to give my appreciation to Mr. MOE (Ministry of Entertainment) 😂 for taking our photos it’s really great for our social media feeds. He really enjoys what he do and really help other hotel guests for taking photos and where is the best spot to take one. 😊😊😊 I attached his work. PS: Mr. MOE if you will be busier because of this I’m sorry. ✌️😌😁",February 2022,11,5.0
Birthday treat,When we checked in I told them it was my birthday. Daniel then told me he had upgraded us to a suite. It was unbelievable! Huge with floor to ceiling windows on both sides and phenomenal views! I will never forget this experience. Dinner at C’est La Vie and a swim in the rooftop pool in the morning topped it all off. I would highly recommend this hotel for a special occasion.,February 2022,50,5.0
